,last_move,predicted_position,target_position,shape,region,color,steps,time
0,grip,[2 9],[5 9],P,left,red,13,45.39953684806824
1,right.,[25  9],[15 11],P,right,red,20,42.18657207489014
2,up,[  9 -11],[10  2],P,top,red,20,42.51202130317688
3,up,[16 -4],[16  3],P,top right,red,20,47.7367308139801
4,left,[-5  9],[ 4 11],P,left,red,20,40.49977493286133
5,grip,[9 9],[6 7],P,center,blue,4,13.805635213851929
6,left,[-6  9],[ 5 10],P,left,blue,20,46.372148752212524
7,up,[ 9 -9],[11  3],P,top,blue,20,47.33724522590637
8,down,[ 9 29],[ 7 13],P,bottom,blue,20,53.53292417526245
9,grip,[5 9],[ 3 11],P,left,blue,6,16.010332822799683
10,down,[ 9 29],[11 14],P,bottom,green,20,62.734721660614014
11,right,[21  9],[13  8],P,right,green,20,48.03271174430847
12,left,[-10   9],[4 9],P,left,green,20,62.14733839035034
13,down,[15 21],[16 14],P,bottom right,green,20,48.345985651016235
14,grip,[9 9],[ 6 12],P,center,green,3,6.324454069137573
15,up,[ 9 -6],[7 4],P,top,yellow,20,48.520538330078125
16,left,[ 3 23],[ 3 16],P,bottom left,yellow,20,80.54903650283813
17,right,[16  1],[14  2],P,top right,yellow,20,53.58552813529968
18,right,[22  2],[15  4],P,top right,yellow,20,47.24162435531616
19,right,[27  9],[13 10],P,right,yellow,20,44.526952266693115
20,left,[-5  9],[ 3 11],P,left,cyan,20,58.48821568489075
21,right,[24 13],[13 15],P,bottom right,cyan,20,47.294408082962036
22,up,[  8 -10],[3 4],P,top left,cyan,20,43.883575201034546
23,down,[ 5 25],[ 4 15],P,bottom left,cyan,20,42.7998411655426
24,down,[ 9 29],[ 8 15],P,bottom,cyan,20,47.7777783870697
25,down,[ 4 24],[ 5 16],P,bottom left,magenta,20,41.85150218009949
26,up,[  9 -10],[7 4],P,top,magenta,20,53.65406155586243
27,grip,[9 9],[ 8 10],P,center,magenta,2,4.394442081451416
28,right,[25  9],[8 8],P,center,magenta,20,42.54536175727844
29,down,[ 9 29],[ 7 16],P,bottom,magenta,20,48.6601836681366
30,grip,[9 9],[ 7 12],T,center,red,5,7.459528923034668
31,grip.,[ 9 11],[ 7 12],T,center,red,20,37.94309139251709
32,grip,[9 9],[11 12],T,center,red,3,7.641549825668335
33,down,[15 21],[14 14],T,bottom right,red,20,58.95193696022034
34,down,[ 8 28],[ 5 13],T,bottom left,red,20,37.62329840660095
35,left.,[-2  9],[3 7],T,left,blue,20,55.742920875549316
36,down,[ 6 26],[ 5 14],T,bottom left,blue,20,53.81539034843445
37,down,[14 23],[15 13],T,bottom right,blue,20,48.227200984954834
38,down,[ 9 29],[12 15],T,bottom,blue,20,44.176905155181885
39,up,[  8 -10],[5 4],T,top left,blue,20,46.67258620262146
40,grip,[10 11],[10 10],T,center,green,7,18.382625102996826
41,grip,[9 8],[11  9],T,center,green,14,28.817771434783936
42,grip,[9 9],[11  8],T,center,green,1,1.833414077758789
43,left,[-9  9],[ 5 12],T,left,green,20,44.563199520111084
44,down,[ 9 29],[ 5 14],T,bottom left,green,20,39.142176151275635
45,right,[26  9],[16  8],T,right,yellow,20,37.318264961242676
46,down,[ 9 29],[ 7 15],T,bottom,yellow,20,42.515897274017334
47,grip,[-2  9],[5 8],T,left,yellow,13,30.220391035079956
48,grip,[10  7],[11  6],T,center,yellow,10,23.994385242462158
49,up,[  9 -11],[5 3],T,top left,yellow,20,36.90514326095581
50,down,[18 20],[13 16],T,bottom right,cyan,20,42.58602690696716
51,grip,[9 9],[9 8],T,center,cyan,4,5.446978330612183
52,up,[  9 -11],[6 5],T,top,cyan,20,45.527188539505005
53,left,[ 6 26],[ 2 14],T,bottom left,cyan,20,45.98841381072998
54,down,[ 9 29],[ 9 13],T,bottom,cyan,20,47.43364858627319
55,up,[ 9 -9],[12  4],T,top,magenta,20,37.416322231292725
56,grip,[9 8],[ 9 11],T,center,magenta,14,33.125004529953
57,left,[-9  9],[ 2 12],T,left,magenta,20,52.953569173812866
58,up,[  9 -11],[7 2],T,top,magenta,20,40.71940326690674
59,right.,[19  9],[16  8],T,right,magenta,20,40.45871114730835
60,up,[15 -4],[14  3],U,top right,red,20,44.75507831573486
61,right,[23 14],[15 14],U,bottom right,red,20,49.59757328033447
62,grip,[9 9],[8 6],U,center,red,7,10.912520408630371
63,up,[9 0],[12  4],U,top,red,20,46.87598633766174
64,grip,[9 9],[ 7 12],U,center,red,2,13.571129083633423
65,up,[15 -4],[14  4],U,top right,blue,20,45.554574728012085
66,grip,[18  9],[ 8 10],U,center,blue,16,37.36440443992615
67,down,[ 9 27],[ 7 15],U,bottom,blue,20,49.46742653846741
68,grip.,[10  8],[9 7],U,center,blue,20,49.79272508621216
69,right,[19  5],[15  5],U,top right,blue,20,49.628212451934814
70,down,[ 9 29],[12 15],U,bottom,green,20,32.32934284210205
71,grip,[9 4],[8 3],U,top,green,7,14.4900541305542
72,down,[ 9 29],[ 9 16],U,bottom,green,20,33.28269052505493
73,grip,[9 8],[ 8 12],U,center,green,10,27.000882148742676
74,grip,[9 9],[8 7],U,center,green,18,42.55071711540222
75,up,[  9 -11],[11  2],U,top,yellow,20,41.674084424972534
76,down,[ 9 29],[10 13],U,bottom,yellow,20,58.6241180896759
77,left,[-9  9],[3 7],U,left,yellow,20,50.26934623718262
78,grip,[9 5],[8 5],U,top,yellow,6,16.789888381958008
79,down,[ 9 29],[ 6 14],U,bottom,yellow,20,118.56460762023926
80,up,[  9 -11],[3 3],U,top left,cyan,20,50.95192503929138
81,right,[21  9],[16  6],U,right,cyan,20,58.40798878669739
82,grip,[2 9],[4 7],U,left,cyan,11,26.824799060821533
83,grip,[ 9 -2],[8 3],U,top,cyan,12,25.43243670463562
84,down,[ 3 23],[ 3 16],U,bottom left,cyan,20,51.32764410972595
85,up,[  8 -10],[2 4],U,top left,magenta,20,58.63679051399231
86,grip,[9 5],[7 4],U,top,magenta,7,16.542277574539185
87,grip,[9 9],[12 10],U,center,magenta,9,16.496959686279297
88,down,[ 9 29],[ 7 13],U,bottom,magenta,20,45.97080039978027
89,left,[-8 12],[ 2 13],U,bottom left,magenta,20,37.45876860618591
90,grip,[9 9],[8 9],W,center,red,1,4.627838134765625
91,right.,[16  4],[14  5],W,top right,red,20,39.623642921447754
92,grip,[9 9],[11  9],W,center,red,2,4.98352575302124
93,left,[-11   9],[5 9],W,left,red,20,44.544189453125
94,right,[29  9],[16  8],W,right,red,20,53.3154559135437
95,grip,[11 11],[11 10],W,center,blue,16,46.49405097961426
96,right,[28  9],[16 11],W,right,blue,20,60.741281032562256
97,up,[  9 -11],[8 2],W,top,blue,20,42.059422731399536
98,left,[-2  9],[2 6],W,left,blue,20,43.59149765968323
99,right,[28  9],[14 12],W,right,blue,20,40.5499427318573
100,left,[-5 14],[ 2 13],W,bottom left,green,20,53.506266593933105
101,right,[25  9],[14 12],W,right,green,20,35.91490864753723
102,grip,[10  9],[8 7],W,center,green,4,10.422191143035889
103,left,[-10   9],[4 7],W,left,green,20,47.12704658508301
104,up,[  9 -11],[11  4],W,top,green,20,57.59205889701843
105,up,[  8 -10],[5 4],W,top left,yellow,20,57.77227163314819
106,down,[ 4 24],[ 5 16],W,bottom left,yellow,20,66.20338845252991
107,right.,[18  9],[16  7],W,right,yellow,20,60.30771446228027
108,grip,[9 9],[9 6],W,center,yellow,1,1.7590696811676025
109,down,[ 5 24],[ 3 13],W,bottom left,yellow,20,45.13926887512207
110,right,[23  5],[13  3],W,top right,cyan,20,52.783963680267334
111,up,[  9 -10],[11  3],W,top,cyan,20,50.83031940460205
112,grip,[-4  9],[2 9],W,left,cyan,16,34.18824744224548
113,right,[28  9],[15 12],W,right,cyan,20,40.17607808113098
114,up,[  9 -11],[8 3],W,top,cyan,20,43.29488730430603
115,right,[27 11],[15 13],W,bottom right,magenta,20,44.389678716659546
116,grip,[-1  9],[3 6],W,left,magenta,15,43.5696656703949
117,right,[28  9],[14 11],W,right,magenta,20,47.29396438598633
118,grip,[9 5],[12  5],W,top,magenta,6,16.559622287750244
119,grip,[9 9],[10 10],W,center,magenta,5,10.094728231430054
120,up,[ 9 -9],[6 3],X,top,red,20,42.448692321777344
121,grip,[9 9],[8 9],X,center,red,7,8.16860556602478
122,up,[  9 -11],[5 2],X,top left,red,20,49.15261650085449
123,down,[ 9 29],[ 9 14],X,bottom,red,20,45.922099590301514
124,right,[23  9],[13 10],X,right,red,20,38.879626989364624
125,up,[  9 -11],[8 5],X,top,blue,20,39.792644023895264
126,grip,[9 9],[ 9 10],X,center,blue,1,1.9888925552368164
127,left,[-5  9],[ 5 10],X,left,blue,20,61.38719177246094
128,right,[25  9],[16  8],X,right,blue,20,46.01886701583862
129,up,[  9 -11],[5 4],X,top left,blue,20,54.37037968635559
130,grip,[9 9],[12  8],X,center,green,2,3.615328073501587
131,down,[18 20],[16 16],X,bottom right,green,20,48.150994062423706
132,grip,[12  4],[13  2],X,top right,green,9,14.993812084197998
133,down,[ 9 29],[ 5 16],X,bottom left,green,20,51.67514729499817
134,up,[15 -3],[15  4],X,top right,green,20,82.84493088722229
135,down,[ 9 28],[12 13],X,bottom,yellow,20,38.865463972091675
136,right,[25  9],[16  7],X,right,yellow,20,43.05701732635498
137,right,[26  9],[15 12],X,right,yellow,20,40.33551549911499
138,down,[ 6 26],[ 5 14],X,bottom left,yellow,20,61.49326539039612
139,right,[24  9],[16 12],X,right,yellow,20,58.02609205245972
140,up,[  9 -11],[12  5],X,top,cyan,20,40.59964418411255
141,right,[27  9],[16 11],X,right,cyan,20,61.59155035018921
142,grip,[9 9],[ 6 11],X,center,cyan,13,20.265640020370483
143,down,[ 9 29],[ 6 14],X,bottom,cyan,20,35.394521713256836
144,down,[ 9 28],[ 9 15],X,bottom,cyan,20,48.53118681907654
145,down,[ 9 27],[ 9 14],X,bottom,magenta,20,62.377251863479614
146,right,[19  0],[16  5],X,top right,magenta,20,50.15679407119751
147,right.,[22  9],[15  7],X,right,magenta,20,55.535884380340576
148,down,[ 9 27],[11 15],X,bottom,magenta,20,41.763306856155396
149,down,[ 9 29],[11 16],X,bottom,magenta,20,43.21561121940613
150,grip,[9 9],[8 6],Z,center,red,2,7.1908323764801025
151,down,[14 23],[15 13],Z,bottom right,red,20,47.75829029083252
152,grip,[9 9],[6 9],Z,center,red,1,1.1608271598815918
153,grip,[0 9],[2 8],Z,left,red,14,38.44086217880249
154,up,[ 9 -4],[7 5],Z,top,red,20,45.94744849205017
155,right,[28  9],[16  9],Z,right,blue,20,45.511791706085205
156,left.,[-2 16],[ 3 13],Z,bottom left,blue,20,47.111125469207764
157,right.,[20  4],[14  4],Z,top right,blue,20,37.958603620529175
158,up,[  9 -11],[11  4],Z,top,blue,20,42.25826859474182
159,grip,[11  9],[12 12],Z,center,blue,7,14.031814098358154
160,down,[ 9 29],[ 8 13],Z,bottom,green,20,31.141348123550415
161,left,[6 1],[2 4],Z,top left,green,20,51.062785148620605
162,left,[-9  9],[ 2 12],Z,left,green,20,44.253159523010254
163,down,[12 25],[16 16],Z,bottom right,green,20,56.362844944000244
164,left,[-8  9],[ 5 10],Z,left,green,20,36.33751654624939
165,grip,[9 9],[7 7],Z,center,yellow,2,7.90967869758606
166,left,[-6  9],[3 6],Z,left,yellow,20,59.7150776386261
167,down,[ 9 27],[ 9 15],Z,bottom,yellow,20,77.31948041915894
168,down,[13 24],[15 16],Z,bottom right,yellow,20,38.9199104309082
169,down,[ 6 26],[ 4 16],Z,bottom left,yellow,20,53.510331869125366
170,up,[  9 -11],[11  2],Z,top,cyan,20,37.623525857925415
171,down,[ 6 26],[ 4 13],Z,bottom left,cyan,20,71.81165075302124
172,right.,[22 14],[13 15],Z,bottom right,cyan,20,43.85338306427002
173,down,[ 9 29],[11 13],Z,bottom,cyan,20,53.360288858413696
174,grip,[9 9],[12  6],Z,center,cyan,2,4.073593378067017
175,up,[  9 -11],[10  4],Z,top,magenta,20,56.943684101104736
176,down,[15 21],[16 15],Z,bottom right,magenta,20,54.12953281402588
177,grip,[2 9],[ 4 10],Z,left,magenta,8,18.495890617370605
178,right,[25  9],[14  7],Z,right,magenta,20,58.34941554069519
179,grip,[11  9],[10  9],Z,center,magenta,4,8.374547481536865
