,last_move,predicted_position,target_position,shape,region,color,steps,time
0,up,[  8 -10],[7 3],P,top,red,20,3.1454057693481445
1,right,[29  9],[13  2],P,top right,red,20,2.2485063076019287
2,right,[29  9],[11  8],P,center,red,20,2.2347428798675537
3,right,[29  9],[13  2],P,top right,red,20,2.2307889461517334
4,up,[ 9 11],[ 5 13],P,bottom left,red,20,2.241992473602295
5,right,[23  3],[10  6],P,center,red,20,2.2378342151641846
6,right,[27  9],[4 5],P,top left,red,20,2.2336485385894775
7,up,[ 10 -10],[8 8],P,center,red,20,2.2256815433502197
8,left,[-9  7],[ 6 11],P,center,red,20,2.2237355709075928
9,left,[8 8],[6 3],P,top,red,20,2.224829912185669
10,left,[-8  8],[ 5 15],P,bottom left,red,20,2.2248730659484863
11,left,[-11   9],[4 5],P,top left,red,20,2.2247474193573
12,right,[29  9],[12  2],P,top,red,20,2.2263474464416504
13,right,[29  9],[8 4],P,top,red,20,2.2243285179138184
14,right,[29  9],[16  7],P,right,red,20,2.226513624191284
15,right,[29  9],[9 4],P,top,red,20,2.2345852851867676
16,right,[29  9],[10 15],P,bottom,red,20,2.2242379188537598
17,right,[29  9],[16 13],P,bottom right,red,20,2.238734245300293
18,down,[10 14],[ 3 15],P,bottom left,red,20,2.3578267097473145
19,down,[ 9 29],[11 16],P,bottom,red,20,2.231316566467285
20,left,[7 9],[ 4 12],P,left,blue,20,2.2273621559143066
21,left,[-8  6],[ 4 13],P,bottom left,blue,20,2.2277884483337402
22,right,[29  9],[13  8],P,right,blue,20,2.231569766998291
23,right,[29  9],[10  8],P,center,blue,20,2.229832172393799
24,down,[9 9],[ 2 13],P,bottom left,blue,20,2.2290170192718506
25,up,[  9 -11],[6 2],P,top,blue,20,2.2288014888763428
26,right,[29  9],[14  9],P,right,blue,20,2.2337236404418945
27,right,[29  9],[13 12],P,right,blue,20,2.230670928955078
28,right,[29  9],[4 6],P,left,blue,20,2.232264280319214
29,right,[29  9],[15 16],P,bottom right,blue,20,2.2318265438079834
30,right,[28  8],[ 4 13],P,bottom left,blue,20,2.233419179916382
31,right,[29  9],[16  5],P,top right,blue,20,2.2362399101257324
32,left,[2 8],[9 3],P,top,blue,20,2.232038974761963
33,right,[29  9],[10  5],P,top,blue,20,2.2352476119995117
34,up,[  9 -11],[ 3 16],P,bottom left,blue,20,2.233226776123047
35,right,[29  9],[15  8],P,right,blue,20,2.2347488403320312
36,right,[28  8],[8 2],P,top,blue,20,2.232966661453247
37,right,[29  9],[15  6],P,right,blue,20,2.232229471206665
38,right,[15  9],[6 2],P,top,blue,20,2.232459306716919
39,right,[29  9],[13 15],P,bottom right,blue,20,2.233888626098633
