,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[6 3],[6 3],W,top,yellow,10,12.206340789794922,"['up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'left', 'grip']"
1,grip,[15 12],[ 4 16],U,bottom left,blue,10,11.027039527893066,"['right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'right', 'grip']"
2,grip,[ 8 10],[ 8 10],W,center,green,3,3.5032544136047363,"['left', 'down', 'grip']"
3,grip,[11 16],[11 16],Z,bottom,blue,10,10.998693943023682,"['down', 'down', 'down', 'down', 'down', 'down', 'right', 'down', 'right', 'grip']"
4,grip,[13 14],[13 14],W,bottom right,yellow,10,10.917205333709717,"['down', 'down', 'right', 'down', 'right', 'right', 'down', 'right', 'down', 'grip']"
5,grip,[5 6],[5 6],P,left,cyan,8,8.831471920013428,"['up', 'left', 'up', 'left', 'left', 'left', 'up', 'grip']"
6,grip,[ 8 11],[ 8 11],Z,center,yellow,4,4.586529016494751,"['down', 'down', 'left', 'grip']"
7,grip,[12 11],[12 11],X,center,yellow,6,6.765053033828735,"['right', 'down', 'right', 'down', 'right', 'grip']"
8,grip,[ 7 10],[ 7 10],P,center,magenta,6,6.748822450637817,"['down', 'left', 'left', 'down', 'up', 'grip']"
9,left,[10 10],[16  6],X,right,magenta,20,21.352057933807373,"['right', 'right', 'right', 'down', 'left', 'right', 'up', 'down', 'left', 'right', 'up', 'up', 'down', 'down', 'left', 'left', 'right', 'right', 'left', 'left']"
10,grip,[11  6],[11  6],Z,center,red,6,6.72726583480835,"['up', 'up', 'right', 'up', 'right', 'grip']"
11,up,[11  7],[12  6],P,center,magenta,20,21.41970443725586,"['up', 'right', 'right', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']"
12,right,[14  6],[ 2 16],W,bottom left,magenta,20,22.577443599700928,"['up', 'right', 'up', 'right', 'right', 'up', 'right', 'up', 'right', 'down', 'up', 'left', 'right', 'left', 'down', 'right', 'up', 'left', 'down', 'right']"
13,grip,[ 6 12],[9 2],U,top,magenta,7,7.798177480697632,"['left', 'down', 'down', 'left', 'left', 'down', 'grip']"
14,grip,[12  6],[12  5],P,top,cyan,7,7.75684666633606,"['up', 'up', 'right', 'up', 'right', 'right', 'grip']"
15,grip,[9 9],[9 9],T,center,red,1,1.3624517917633057,['grip']
16,grip,[4 7],[4 7],T,left,magenta,8,8.910771131515503,"['left', 'up', 'left', 'up', 'left', 'left', 'left', 'grip']"
17,down,[15 17],[15 13],T,bottom right,blue,20,21.29985284805298,"['down', 'down', 'right', 'down', 'right', 'right', 'down', 'down', 'down', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'right', 'down', 'right', 'down']"
18,grip,[ 8 16],[ 8 16],X,bottom,blue,9,9.881102561950684,"['down', 'down', 'down', 'down', 'down', 'down', 'left', 'down', 'grip']"
19,grip,[3 7],[3 7],T,left,green,9,9.867889165878296,"['left', 'left', 'left', 'up', 'left', 'up', 'left', 'left', 'grip']"
20,grip,[4 9],[4 9],W,left,cyan,6,6.657942295074463,"['left', 'left', 'left', 'left', 'left', 'grip']"
21,grip,[ 7 11],[ 7 11],W,center,blue,5,5.645994663238525,"['down', 'left', 'down', 'left', 'grip']"
22,right,[25  5],[5 2],W,top left,blue,20,21.485892295837402,"['up', 'right', 'right', 'up', 'right', 'right', 'up', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
23,grip,[11  9],[11  9],T,center,blue,3,3.526106357574463,"['right', 'right', 'grip']"
24,grip,[ 2 13],[ 2 13],P,bottom left,magenta,12,13.89180326461792,"['left', 'left', 'left', 'left', 'left', 'down', 'left', 'down', 'down', 'left', 'down', 'grip']"
25,grip,[9 5],[9 5],X,top,green,5,5.68452262878418,"['up', 'up', 'up', 'up', 'grip']"
26,grip,[4 4],[4 4],T,top left,yellow,11,12.130057096481323,"['up', 'up', 'up', 'left', 'left', 'up', 'left', 'left', 'up', 'left', 'grip']"
27,grip,[11  3],[11  3],T,top,magenta,9,9.944794654846191,"['up', 'up', 'up', 'up', 'right', 'up', 'right', 'up', 'grip']"
28,grip,[14 16],[15 16],W,bottom right,green,13,14.265349388122559,"['down', 'down', 'down', 'down', 'right', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'grip']"
29,grip,[ 3 15],[ 3 15],X,bottom left,green,13,14.232447385787964,"['down', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'grip']"
30,grip,[4 9],[4 9],U,left,blue,6,6.753731727600098,"['left', 'left', 'left', 'left', 'left', 'grip']"
31,grip,[ 7 15],[ 7 15],T,bottom,blue,9,9.957000494003296,"['down', 'down', 'down', 'down', 'down', 'left', 'down', 'left', 'grip']"
32,grip,[4 6],[4 6],U,left,cyan,9,9.916645526885986,"['up', 'left', 'left', 'left', 'up', 'left', 'left', 'up', 'grip']"
33,grip,[11  9],[11  9],P,center,yellow,3,3.5438218116760254,"['right', 'right', 'grip']"
34,grip,[11  5],[11  5],Z,top,cyan,7,7.834691524505615,"['up', 'up', 'up', 'right', 'up', 'right', 'grip']"
35,left,[12  4],[13  4],Z,top right,blue,20,21.37962007522583,"['up', 'up', 'right', 'right', 'left', 'left', 'left', 'up', 'right', 'right', 'right', 'up', 'right', 'up', 'right', 'left', 'left', 'right', 'right', 'left']"
36,grip,[ 7 10],[ 7 10],W,center,red,4,4.547487020492554,"['left', 'down', 'left', 'grip']"
