,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[ 9 14],[ 9 14],P,bottom,cyan,6,5.414452314376831,"['down', 'down', 'down', 'down', 'down', 'grip']"
1,grip,[2 6],[2 6],P,left,yellow,11,8.194847106933594,"['left', 'left', 'up', 'left', 'left', 'up', 'left', 'up', 'left', 'left', 'grip']"
2,grip,[16 12],[16 11],U,right,green,11,8.291004180908203,"['right', 'right', 'right', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'grip']"
3,grip,[11 12],[11 11],U,center,green,6,4.6419806480407715,"['down', 'down', 'down', 'right', 'right', 'grip']"
4,grip,[2 7],[2 7],U,left,cyan,10,7.617346525192261,"['left', 'left', 'up', 'left', 'up', 'left', 'left', 'left', 'left', 'grip']"
5,grip,[11  3],[11  3],Z,top,yellow,9,6.881383419036865,"['up', 'up', 'up', 'up', 'up', 'right', 'up', 'right', 'grip']"
6,grip,[15 12],[15 12],W,right,green,10,7.483133316040039,"['right', 'right', 'right', 'right', 'down', 'right', 'down', 'down', 'right', 'grip']"
7,grip,[8 8],[8 8],U,center,magenta,3,2.393113374710083,"['up', 'left', 'grip']"
8,grip,[ 8 11],[ 8 11],P,center,cyan,4,3.1297223567962646,"['down', 'left', 'down', 'grip']"
9,grip,[10  4],[10  4],X,top,red,7,5.31503701210022,"['up', 'up', 'up', 'up', 'right', 'up', 'grip']"
10,grip,[13  4],[13  4],U,top right,magenta,10,7.8773722648620605,"['up', 'up', 'up', 'right', 'up', 'right', 'right', 'up', 'right', 'grip']"
11,grip,[10 12],[10 12],W,center,green,5,3.8477389812469482,"['down', 'down', 'down', 'right', 'grip']"
12,grip,[ 9 12],[ 9 12],T,center,red,4,3.0998733043670654,"['down', 'down', 'down', 'grip']"
13,grip,[3 6],[3 6],X,left,red,10,7.498641729354858,"['left', 'up', 'left', 'left', 'up', 'left', 'up', 'left', 'left', 'grip']"
14,grip,[6 6],[6 6],P,center,red,7,5.316881895065308,"['up', 'left', 'up', 'left', 'up', 'left', 'grip']"
15,grip,[14 16],[14 16],W,bottom right,yellow,13,9.766031980514526,"['down', 'down', 'down', 'down', 'right', 'right', 'down', 'right', 'down', 'down', 'right', 'right', 'grip']"
16,grip,[12  5],[12  5],P,top,green,8,6.101536989212036,"['up', 'up', 'right', 'right', 'up', 'right', 'up', 'grip']"
17,grip,[13  7],[14  7],Z,right,blue,7,5.318462610244751,"['right', 'right', 'right', 'up', 'right', 'up', 'grip']"
