predictions,gts,ids
up,right,"""training_data/easy/boards/boards3014/step_0.png"""
up,up,"""training_data/easy/boards/boards3014/step_1.png"""
up,up,"""training_data/easy/boards/boards3014/step_2.png"""
up,up,"""training_data/easy/boards/boards3014/step_3.png"""
right,right,"""training_data/easy/boards/boards3014/step_4.png"""
up,up,"""training_data/easy/boards/boards3014/step_5.png"""
right,right,"""training_data/easy/boards/boards3014/step_6.png"""
grip,grip,"""training_data/easy/boards/boards3014/step_7.png"""
down,down,"""training_data/easy/boards/boards2661/step_0.png"""
down,right,"""training_data/easy/boards/boards2661/step_1.png"""
down,down,"""training_data/easy/boards/boards2661/step_2.png"""
down,down,"""training_data/easy/boards/boards2661/step_3.png"""
down right down,right,"""training_data/easy/boards/boards2661/step_4.png"""
down,down,"""training_data/easy/boards/boards2661/step_5.png"""
grip,grip,"""training_data/easy/boards/boards2661/step_6.png"""
right,right,"""training_data/easy/boards/boards307/step_0.png"""
right,right,"""training_data/easy/boards/boards307/step_1.png"""
right,up,"""training_data/easy/boards/boards307/step_2.png"""
right,right,"""training_data/easy/boards/boards307/step_3.png"""
right,right,"""training_data/easy/boards/boards307/step_4.png"""
up,right,"""training_data/easy/boards/boards307/step_5.png"""
up,up,"""training_data/easy/boards/boards307/step_6.png"""
up,up,"""training_data/easy/boards/boards307/step_7.png"""
grip,grip,"""training_data/easy/boards/boards307/step_8.png"""
up,right,"""training_data/easy/boards/boards1494/step_0.png"""
up,up,"""training_data/easy/boards/boards1494/step_1.png"""
right,right,"""training_data/easy/boards/boards1494/step_2.png"""
grip,grip,"""training_data/easy/boards/boards1494/step_3.png"""
left,up,"""training_data/easy/boards/boards2146/step_0.png"""
left,left,"""training_data/easy/boards/boards2146/step_1.png"""
left,up,"""training_data/easy/boards/boards2146/step_2.png"""
left,left,"""training_data/easy/boards/boards2146/step_3.png"""
left,left,"""training_data/easy/boards/boards2146/step_4.png"""
left,left,"""training_data/easy/boards/boards2146/step_5.png"""
grip,grip,"""training_data/easy/boards/boards2146/step_6.png"""
left,up,"""training_data/easy/boards/boards2439/step_0.png"""
left,left,"""training_data/easy/boards/boards2439/step_1.png"""
left,left,"""training_data/easy/boards/boards2439/step_2.png"""
left,left,"""training_data/easy/boards/boards2439/step_3.png"""
grip,grip,"""training_data/easy/boards/boards2439/step_4.png"""
right,right,"""training_data/easy/boards/boards2746/step_0.png"""
right,down,"""training_data/easy/boards/boards2746/step_1.png"""
right,right,"""training_data/easy/boards/boards2746/step_2.png"""
right right down,right,"""training_data/easy/boards/boards2746/step_3.png"""
right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right right,right,"""training_data/easy/boards/boards2746/step_4.png"""
right right down right,right,"""training_data/easy/boards/boards2746/step_5.png"""
right down,right,"""training_data/easy/boards/boards2746/step_6.png"""
down,down,"""training_data/easy/boards/boards2746/step_7.png"""
grip,grip,"""training_data/easy/boards/boards2746/step_8.png"""
up,right,"""training_data/easy/boards/boards3314/step_0.png"""
up,up,"""training_data/easy/boards/boards3314/step_1.png"""
right,right,"""training_data/easy/boards/boards3314/step_2.png"""
grip,grip,"""training_data/easy/boards/boards3314/step_3.png"""
left,left,"""training_data/easy/boards/boards1886/step_0.png"""
left,left,"""training_data/easy/boards/boards1886/step_1.png"""
left,left,"""training_data/easy/boards/boards1886/step_2.png"""
up,up,"""training_data/easy/boards/boards1886/step_3.png"""
up,up,"""training_data/easy/boards/boards1886/step_4.png"""
left,left,"""training_data/easy/boards/boards1886/step_5.png"""
grip,grip,"""training_data/easy/boards/boards1886/step_6.png"""
down,down,"""training_data/easy/boards/boards948/step_0.png"""
down left,down,"""training_data/easy/boards/boards948/step_1.png"""
down left,down,"""training_data/easy/boards/boards948/step_2.png"""
left,down,"""training_data/easy/boards/boards948/step_3.png"""
