,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,right,[29  9],[10 12],T,center,cyan,20,4.523798227310181,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
1,right,[29  9],[15 16],T,bottom right,blue,20,3.6773018836975098,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
2,right,[29  9],[11 10],T,center,magenta,20,3.685474395751953,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
3,down,[14 14],[ 5 15],T,bottom left,magenta,20,3.7121822834014893,"['right', 'down', 'right', 'right', 'down', 'right', 'down', 'right', 'down', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down']"
4,right,[29  9],[15  2],Z,top right,blue,20,3.6834864616394043,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
5,right,[29  9],[6 8],T,center,green,20,3.71547794342041,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
6,right,[29  9],[16  5],T,top right,yellow,20,3.6900482177734375,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
7,up,[ 10 -10],[3 7],T,left,yellow,20,3.712331771850586,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
8,right,[29  9],[13 11],W,right,green,20,3.727501153945923,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
9,right,[27  7],[14  4],P,top right,magenta,20,3.728363037109375,"['up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
10,right,[29  9],[16 13],Z,bottom right,cyan,20,3.6816234588623047,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
11,up,[16  8],[ 7 10],P,center,green,20,3.6772656440734863,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']"
12,right,[29  9],[ 2 11],W,left,magenta,20,3.6987195014953613,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
13,right,[26 12],[4 4],U,top left,magenta,20,3.703007698059082,"['down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
14,right,[29  9],[11 13],W,bottom,cyan,20,3.7174501419067383,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
15,right,[29  9],[8 5],U,top,blue,20,3.7267611026763916,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
16,right,[29  9],[ 9 11],T,center,blue,20,3.699044704437256,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
17,right,[29  9],[8 9],U,center,yellow,20,3.7375831604003906,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
18,right,[29  9],[15 10],X,right,magenta,20,3.6818697452545166,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
19,down,[ 9 11],[ 2 13],W,bottom left,blue,20,3.68269419670105,"['down', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down']"
20,down,[9 9],[12  7],W,center,red,20,3.711052656173706,"['up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down']"
21,right,[29  9],[ 6 16],T,bottom,magenta,20,3.7518770694732666,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
22,right,[28 10],[10 14],W,bottom,green,20,3.713104009628296,"['right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
23,up,[11 -9],[4 9],W,left,red,20,3.720731735229492,"['right', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
24,right,[28 10],[ 7 15],W,bottom,red,20,3.720937490463257,"['right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
25,right,[29  9],[ 8 13],T,bottom,blue,20,3.7101516723632812,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
26,right,[29  9],[15  5],U,top right,red,20,3.763410806655884,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
27,right,[29  9],[15  5],P,top right,red,20,3.7333757877349854,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
28,right,[29  9],[ 7 13],Z,bottom,yellow,20,3.7376770973205566,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
29,up,[  9 -11],[4 6],Z,left,green,20,3.728362560272217,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
30,right,[29  9],[15  5],P,top right,red,20,3.7147204875946045,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
31,up,[ 9 11],[ 5 13],P,bottom left,magenta,20,3.7239673137664795,"['down', 'down', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']"
32,right,[29  9],[14 10],Z,right,green,20,3.7228822708129883,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
33,right,[29  9],[13 11],U,right,yellow,20,3.7251381874084473,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
34,right,[28  8],[6 3],T,top,green,20,3.712122917175293,"['right', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right']"
