,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[6 3],[6 3],W,top,yellow,10,8.029550552368164,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'grip']"
1,left,[ 4 16],[ 4 16],U,bottom left,blue,20,13.722732067108154,"['down', 'down', 'right', 'down', 'right', 'down', 'left', 'left', 'left', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'right', 'left', 'right', 'left']"
2,grip,[ 7 10],[ 8 10],W,center,green,4,3.0147652626037598,"['down', 'left', 'left', 'grip']"
3,grip,[11 16],[11 16],Z,bottom,blue,10,6.995808362960815,"['down', 'down', 'down', 'down', 'down', 'down', 'right', 'down', 'right', 'grip']"
4,grip,[13 14],[13 14],W,bottom right,yellow,14,10.608510971069336,"['down right', 'down', 'down', 'right', 'right', 'down right', 'down right', 'down right', 'right', 'down', 'down', 'down', 'right', 'grip']"
5,grip,[5 7],[5 6],P,left,cyan,7,4.9932050704956055,"['up', 'up', 'left', 'left', 'left', 'left', 'grip']"
6,grip,[ 8 11],[ 8 11],Z,center,yellow,4,3.020474910736084,"['down', 'down', 'left', 'grip']"
7,grip,[12 11],[12 11],X,center,yellow,6,4.240752458572388,"['right', 'down', 'right', 'down', 'right', 'grip']"
8,grip,[ 7 10],[ 7 10],P,center,magenta,4,2.975830078125,"['down', 'left', 'left', 'grip']"
9,down,[12  7],[16  6],X,right,magenta,20,13.832979679107666,"['down', 'right', 'up', 'up', 'up', 'right', 'down', 'up right', 'up', 'down', 'up', 'right', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down']"
10,grip,[11  6],[11  6],Z,center,red,6,4.3525471687316895,"['up', 'up', 'right', 'up', 'right', 'grip']"
11,right,[9 9],[12  6],P,center,magenta,20,13.691567420959473,"['left', 'up', 'down', 'right', 'left', 'up', 'down', 'up', 'down', 'right', 'left', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'right']"
12,grip,[ 2 16],[ 2 16],W,bottom left,magenta,15,10.973423719406128,"['down', 'down', 'left', 'left', 'down', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'grip']"
13,grip,[ 6 12],[9 2],U,top,magenta,7,4.981438636779785,"['down', 'down', 'left', 'left', 'left', 'down', 'grip']"
14,grip,[12  6],[12  5],P,top,cyan,7,4.932801961898804,"['up', 'up', 'right', 'right', 'up', 'right', 'grip']"
15,grip,[9 9],[9 9],T,center,red,1,0.8786311149597168,['grip']
16,up,[ 4 -6],[4 7],T,left,magenta,20,13.687116861343384,"['up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
17,grip,[15 13],[15 13],T,bottom right,blue,11,7.825740337371826,"['right', 'down', 'right', 'down', 'right', 'right', 'down', 'right', 'down', 'right', 'grip']"
18,grip,[ 8 16],[ 8 16],X,bottom,blue,9,6.3467724323272705,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'grip']"
19,grip,[3 7],[3 7],T,left,green,9,6.377258062362671,"['left', 'left', 'left', 'left', 'up', 'left', 'up', 'left', 'grip']"
20,grip,[4 9],[4 9],W,left,cyan,6,4.317109823226929,"['left', 'left', 'left', 'left', 'left', 'grip']"
21,grip,[ 7 11],[ 7 11],W,center,blue,5,3.5808262825012207,"['down', 'left', 'down', 'left', 'grip']"
22,up,[  9 -11],[5 2],W,top left,blue,20,13.863051176071167,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
23,grip,[11 10],[11  9],T,center,blue,4,2.909311056137085,"['right', 'right', 'down', 'grip']"
24,grip,[ 2 13],[ 2 13],P,bottom left,magenta,12,8.790704011917114,"['left', 'left', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'down', 'grip']"
25,grip,[9 5],[9 5],X,top,green,5,3.6933434009552,"['up', 'up', 'up', 'up', 'grip']"
26,grip,[4 4],[4 4],T,top left,yellow,11,7.7082483768463135,"['up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'grip']"
27,grip,[12  3],[11  3],T,top,magenta,10,7.164740085601807,"['up', 'up', 'up', 'up', 'up', 'right', 'up', 'right', 'right', 'grip']"
28,grip,[14 16],[15 16],W,bottom right,green,14,10.027820825576782,"['down', 'down', 'right', 'down right', 'down', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'down', 'grip']"
29,grip,[ 3 15],[ 3 15],X,bottom left,green,13,9.168143510818481,"['down', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'grip']"
30,grip,[4 9],[4 9],U,left,blue,6,4.249615669250488,"['left', 'left', 'left', 'left', 'left', 'grip']"
31,grip,[ 7 15],[ 7 15],T,bottom,blue,9,6.353953123092651,"['down', 'down', 'down', 'down', 'down', 'left', 'left', 'down', 'grip']"
32,grip,[3 6],[4 6],U,left,cyan,10,7.034160137176514,"['up', 'up', 'left', 'left', 'left', 'left', 'left', 'up', 'left', 'grip']"
33,grip,[11 10],[11  9],P,center,yellow,4,2.889254331588745,"['right', 'right', 'down', 'grip']"
34,up,[11 -9],[11  5],Z,top,cyan,20,13.775315999984741,"['up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
35,grip,[13  4],[13  4],Z,top right,blue,10,7.100733757019043,"['up', 'up', 'up', 'right', 'right', 'up', 'right', 'up', 'right', 'grip']"
36,grip,[ 7 10],[ 7 10],W,center,red,4,2.9005818367004395,"['down', 'left', 'left', 'grip']"
37,grip,[16  5],[16  5],P,top right,cyan,12,8.922829866409302,"['right', 'right', 'up', 'right', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'grip']"
38,grip,[ 8 14],[ 8 14],Z,bottom,cyan,7,4.962857246398926,"['down', 'down', 'down', 'down', 'down', 'left', 'grip']"
39,grip,[9 7],[9 6],P,center,cyan,3,2.3016326427459717,"['up', 'up', 'grip']"
40,grip,[8 4],[8 4],T,top,yellow,7,4.937669038772583,"['up', 'up', 'up', 'up', 'up', 'left', 'grip']"
41,grip,[7 4],[7 4],P,top,green,8,5.700723886489868,"['up', 'up', 'up', 'up', 'up', 'left', 'left', 'grip']"
42,grip,[14 10],[14 10],X,right,yellow,7,4.954497337341309,"['right', 'right', 'right', 'right', 'down', 'right', 'grip']"
43,grip,[11  2],[11  2],T,top,yellow,10,7.0240044593811035,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'grip']"
44,grip,[16  6],[16  6],U,right,green,11,7.80525016784668,"['right', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'up', 'right', 'grip']"
45,grip,[12 11],[12 11],Z,center,red,6,4.276090860366821,"['down', 'right', 'right', 'down', 'right', 'grip']"
46,grip,[15 15],[15 15],T,bottom right,red,15,10.825121641159058,"['down', 'right', 'right', 'right', 'down', 'right down', 'right', 'down', 'down', 'down right', 'down', 'right', 'down', 'right', 'grip']"
47,grip,[ 6 11],[ 6 11],W,center,blue,8,5.705695629119873,"['left', 'down', 'left', 'left', 'up', 'down', 'down', 'grip']"
48,grip,[ 4 10],[ 8 15],T,bottom,red,7,5.130768299102783,"['left', 'down', 'left', 'left', 'left', 'left', 'grip']"
49,grip,[14  5],[14  5],X,top right,cyan,12,9.159882545471191,"['up', 'up right', 'up', 'up', 'right', 'up right', 'right', 'right', 'up', 'right', 'right', 'grip']"
50,grip,[ 7 16],[ 7 16],U,bottom,yellow,10,7.064085006713867,"['down', 'down', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'grip']"
51,grip,[16  5],[16  5],T,top right,green,12,8.381228923797607,"['right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'right', 'up', 'right', 'grip']"
52,grip,[8 5],[8 5],U,top,yellow,6,4.328680753707886,"['up', 'up', 'up', 'up', 'left', 'grip']"
53,grip,[16  5],[16  5],X,top right,magenta,12,8.747408866882324,"['right', 'right', 'right', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'right', 'grip']"
54,grip,[13  2],[13  2],X,top right,magenta,15,11.431075096130371,"['up', 'up', 'up right', 'up', 'up right', 'right', 'up', 'up', 'right', 'up right', 'right', 'up', 'up', 'right', 'grip']"
55,grip,[15  6],[16  6],T,right,cyan,10,7.071255922317505,"['right', 'right', 'right', 'up', 'right', 'right', 'up', 'right', 'up', 'grip']"
56,grip,[13  3],[14  3],W,top right,green,11,7.7725889682769775,"['up', 'up', 'up', 'up', 'right', 'right', 'up', 'right', 'up', 'right', 'grip']"
57,grip,[ 5 15],[ 5 15],P,bottom left,cyan,11,8.02530813217163,"['down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'grip']"
58,grip,[11 15],[12 15],U,bottom,blue,9,6.327043533325195,"['down', 'down', 'down', 'down', 'right', 'down', 'right', 'down', 'grip']"
59,grip,[14 10],[14 10],T,right,green,13,8.99309492111206,"['right', 'right', 'right', 'down', 'right', 'down', 'up', 'down', 'up', 'down', 'right', 'up', 'grip']"
60,grip,[3 3],[3 3],Z,top left,cyan,13,9.570003747940063,"['up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'grip']"
61,grip,[2 9],[2 9],U,left,yellow,8,5.705230951309204,"['left', 'left', 'left', 'left', 'left', 'left', 'left', 'grip']"
62,grip,[4 7],[4 7],W,left,green,8,5.748181343078613,"['up', 'up', 'left', 'left', 'left', 'left', 'left', 'grip']"
63,up,[ 4 -5],[4 4],W,top left,magenta,20,14.451581716537476,"['up', 'up', 'up', 'up left', 'left', 'up', 'left', 'left', 'left', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
64,grip,[15  8],[16  8],T,right,magenta,12,8.24778151512146,"['right', 'right', 'right', 'right', 'right', 'up', 'down', 'right', 'up', 'down', 'up', 'grip']"
65,grip,[3 7],[3 7],X,left,yellow,9,6.359028100967407,"['up', 'left', 'left', 'left', 'up', 'left', 'left', 'left', 'grip']"
66,grip,[16 16],[16 15],P,bottom right,magenta,15,10.940629005432129,"['down', 'down', 'down', 'down', 'right', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'right', 'grip']"
67,grip,[11  8],[11  8],Z,center,green,4,2.933044910430908,"['right', 'up', 'right', 'grip']"
68,grip,[9 6],[9 6],U,center,green,4,3.039179563522339,"['up', 'up', 'up', 'grip']"
69,grip,[9 8],[9 7],U,center,red,2,1.570969820022583,"['up', 'grip']"
70,grip,[15  5],[15  5],X,top right,magenta,11,7.995338201522827,"['right', 'up', 'right', 'right', 'right', 'up', 'up', 'right', 'up', 'right', 'grip']"
71,grip,[ 7 10],[ 7 10],X,center,cyan,4,2.9583795070648193,"['down', 'left', 'left', 'grip']"
72,grip,[2 7],[2 7],U,left,blue,10,7.063129663467407,"['left', 'left', 'left', 'left', 'up', 'left', 'left', 'up', 'left', 'grip']"
73,grip,[12 16],[12 16],X,bottom,yellow,11,7.776352882385254,"['down', 'down', 'down', 'down', 'down', 'right', 'down', 'down', 'right', 'right', 'grip']"
74,up,[ 3 -5],[3 3],X,top left,blue,20,13.85705828666687,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'up']"
75,grip,[ 5 11],[ 5 11],W,left,green,7,4.945554971694946,"['down', 'left', 'left', 'left', 'down', 'left', 'grip']"
76,grip,[10 16],[11 16],P,bottom,yellow,9,6.356884241104126,"['down', 'down', 'down', 'down', 'down', 'down', 'right', 'down', 'grip']"
77,up,[8 6],[7 5],T,top,yellow,20,13.770116806030273,"['up', 'up', 'up', 'down', 'up', 'up', 'left', 'down', 'down', 'up', 'down', 'down', 'up', 'down', 'up', 'up', 'down', 'down', 'up', 'up']"
78,grip,[6 6],[6 6],X,center,green,7,5.069300413131714,"['up', 'up', 'left', 'up', 'left', 'left', 'grip']"
79,grip,[7 7],[7 7],P,center,blue,5,3.6839280128479004,"['up', 'up', 'left', 'left', 'grip']"
80,grip,[13  3],[13  3],P,top right,blue,11,7.826674461364746,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'grip']"
81,grip,[16 13],[16 13],Z,bottom right,yellow,16,12.008903980255127,"['right', 'right', 'right', 'down right', 'down right', 'right', 'down right', 'down right', 'right', 'down', 'down', 'down', 'down', 'right', 'right', 'grip']"
82,grip,[13  5],[13  4],T,top right,yellow,9,6.344659090042114,"['up', 'up', 'up', 'right', 'up', 'right', 'right', 'right', 'grip']"
83,grip,[5 4],[5 4],U,top left,yellow,10,7.081535577774048,"['up', 'up', 'up', 'up', 'left', 'up', 'left', 'left', 'left', 'grip']"
84,grip,[ 4 13],[ 4 13],Z,bottom left,green,10,7.001673698425293,"['down', 'left', 'left', 'down', 'down', 'left', 'left', 'down', 'left', 'grip']"
85,grip,[13 11],[13 11],T,right,magenta,7,5.056055307388306,"['right', 'right', 'down', 'right', 'down', 'right', 'grip']"
