,last_move,predicted_position,target_position,shape,region,color,steps,time,total_steps_taken
0,grip,[ 9 14],[ 9 14],P,bottom,cyan,6,5.79944109916687,"['down', 'down', 'down', 'down', 'down', 'grip']"
1,grip,[2 6],[2 6],P,left,yellow,14,11.960137367248535,"['left', 'up left', 'up left', 'left', 'up left', 'up', 'up', 'left', 'up', 'left', 'left', 'left', 'left', 'grip']"
2,grip,[16 12],[16 11],U,right,green,11,8.972349882125854,"['right', 'right', 'right', 'right', 'down', 'right', 'down', 'right', 'down', 'right', 'grip']"
3,grip,[11 12],[11 11],U,center,green,6,4.984099864959717,"['down', 'right', 'down', 'right', 'down', 'grip']"
4,grip,[2 7],[2 7],U,left,cyan,10,8.188037395477295,"['left', 'left', 'left', 'up', 'left', 'left', 'left', 'up', 'left', 'grip']"
5,grip,[11  3],[11  3],Z,top,yellow,9,7.293742418289185,"['up', 'up', 'up', 'up', 'up', 'right', 'up', 'right', 'grip']"
6,grip,[15 12],[15 12],W,right,green,10,8.015966892242432,"['right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'grip']"
7,grip,[8 8],[8 8],U,center,magenta,3,2.6503641605377197,"['up', 'left', 'grip']"
8,grip,[ 8 11],[ 8 11],P,center,cyan,4,3.4453041553497314,"['down', 'left', 'down', 'grip']"
9,grip,[10  4],[10  4],X,top,red,7,5.783684730529785,"['up', 'up', 'up', 'up', 'right', 'up', 'grip']"
10,grip,[13  4],[13  4],U,top right,magenta,13,11.278218984603882,"['up', 'right', 'up', 'up right', 'up', 'up right', 'up right', 'right', 'up', 'up', 'right', 'right', 'grip']"
11,grip,[10 12],[10 12],W,center,green,5,4.156983375549316,"['down', 'down', 'down', 'right', 'grip']"
12,grip,[ 9 12],[ 9 12],T,center,red,4,3.3416225910186768,"['down', 'down', 'down', 'grip']"
13,grip,[3 6],[3 6],X,left,red,10,8.11285662651062,"['left', 'up', 'up', 'left', 'left', 'left', 'left', 'up', 'left', 'grip']"
14,grip,[6 6],[6 6],P,center,red,7,5.717130184173584,"['up', 'up', 'up', 'left', 'left', 'left', 'grip']"
15,grip,[14 16],[14 16],W,bottom right,yellow,14,11.400903224945068,"['down', 'right', 'down', 'down', 'right', 'down', 'down right', 'down', 'right', 'down', 'right', 'down', 'right', 'grip']"
16,grip,[12  6],[12  5],P,top,green,7,5.72727370262146,"['right', 'up', 'right', 'up', 'up', 'right', 'grip']"
17,grip,[14  7],[14  7],Z,right,blue,10,8.12360143661499,"['right', 'right', 'right', 'up', 'right', 'up', 'up', 'right', 'down', 'grip']"
18,grip,[11  9],[12  9],U,center,green,3,2.5106875896453857,"['right', 'right', 'grip']"
19,grip,[15  4],[16  4],T,top right,red,13,10.770472526550293,"['up right', 'up', 'right', 'up', 'up', 'right', 'up', 'right', 'right', 'right', 'right', 'up', 'grip']"
20,grip,[4 6],[4 6],W,left,red,9,7.338094711303711,"['left', 'up', 'left', 'up', 'left', 'left', 'up', 'left', 'grip']"
21,grip,[12 16],[12 16],X,bottom,blue,11,8.927977561950684,"['down', 'down', 'down', 'down', 'down', 'down', 'right', 'right', 'down', 'right', 'grip']"
22,grip,[ 5 12],[ 5 12],W,left,magenta,8,6.447377443313599,"['down', 'down', 'left', 'left', 'down', 'left', 'left', 'grip']"
23,grip,[16  2],[16  2],P,top right,green,15,12.201071500778198,"['up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'grip']"
24,grip,[ 7 14],[ 7 14],Z,bottom,cyan,8,6.564173460006714,"['down', 'down', 'down', 'down', 'down', 'left', 'left', 'grip']"
25,grip,[ 5 15],[ 4 15],U,bottom left,yellow,11,9.024490356445312,"['down', 'down', 'down', 'left', 'down', 'left', 'down', 'left', 'left', 'down', 'grip']"
26,grip,[3 5],[3 5],P,top left,magenta,11,8.966857433319092,"['up', 'up', 'up', 'up', 'left', 'left', 'left', 'left', 'left', 'left', 'grip']"
27,grip,[16 12],[16 12],X,right,cyan,15,13.003378868103027,"['down right', 'right', 'down right', 'down right', 'down right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'right', 'right', 'grip']"
28,grip,[13  7],[14  7],T,right,green,7,5.679328441619873,"['right', 'right', 'up', 'right', 'right', 'up', 'grip']"
29,grip,[ 8 14],[ 8 13],U,bottom,blue,7,5.782790660858154,"['down', 'down', 'down', 'down', 'down', 'left', 'grip']"
30,grip,[10 10],[10 10],X,center,magenta,3,2.563192367553711,"['down', 'right', 'grip']"
31,grip,[7 2],[7 2],Z,top,yellow,10,8.13157343864441,"['up', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'grip']"
32,grip,[14  7],[14  7],Z,right,blue,8,6.5241923332214355,"['right', 'right', 'right', 'up', 'right', 'up', 'right', 'grip']"
33,grip,[ 4 16],[ 4 16],U,bottom left,green,13,10.524021625518799,"['down', 'down', 'down', 'left', 'left', 'down', 'left', 'down', 'left', 'down', 'down', 'left', 'grip']"
34,grip,[13 16],[13 16],X,bottom right,blue,12,9.782747030258179,"['down', 'down', 'right', 'down', 'down', 'down', 'right', 'down', 'right', 'down', 'right', 'grip']"
35,grip,[12  6],[12  6],Z,center,magenta,7,5.675691366195679,"['up', 'right', 'up', 'right', 'up', 'right', 'grip']"
36,grip,[6 7],[5 7],T,left,blue,6,4.901989698410034,"['up', 'up', 'left', 'left', 'left', 'grip']"
